가아, 152, 81
하마, 180, 92
나카, 157, 97
바라, 189, 95
사가, 162, 67
하하, 185, 65
파다, 186, 88
하하, 177, 78
차사, 158, 60
바라, 187, 96
다바, 187, 87
다다, 167, 77
라하, 175, 52
파파, 188, 53
나하, 168, 51
마라, 158, 88
가자, 175, 99
차차, 171, 47
사바, 152, 81
하타, 163, 45
라하, 188, 97
차타, 176, 66
가바, 153, 75
자사, 167, 72
카파, 181, 56
바하, 184, 70
사하, 165, 86
바바, 186, 54
바자, 176, 47
바나, 153, 42
하바, 175, 72
마라, 189, 68
라자, 182, 65
다마, 175, 79
아마, 150, 60
차나, 172, 95
카다, 180, 62
라아, 170, 76
라아, 167, 67
파파, 182, 40
나아, 187, 64
카파, 151, 77
하사, 166, 88
아자, 176, 92
다사, 179, 41
하자, 163, 62
가파, 170, 94
나하, 168, 77
자사, 157, 82
라사, 166, 43
자자, 181, 72
마가, 176, 80
바마, 177, 94
라파, 155, 86
자자, 168, 72
라차, 188, 45
마자, 174, 67
타가, 183, 40
타파, 160, 44
파카, 154, 59
마하, 178, 77
마차, 181, 80
다라, 161, 84
아파, 171, 58
카카, 187, 62
차아, 169, 63
나하, 178, 99
마파, 165, 96
마다, 166, 42
바타, 164, 43
마하, 162, 53
라다, 175, 80
마사, 183, 60
다바, 175, 41
아다, 179, 55
다카, 185, 84
라다, 184, 65
가자, 152, 50
자라, 165, 43
마마, 171, 43
다아, 158, 77
다카, 166, 93
바카, 151, 77
하파, 168, 53
바파, 150, 96
다하, 151, 88
바카, 152, 41
라바, 161, 47
하카, 155, 58
나아, 184, 69
아다, 159, 42
마라, 175, 66
바다, 188, 79
차가, 155, 79
파나, 188, 74
자다, 181, 70
바타, 152, 67
자마, 166, 58
자차, 187, 76
타나, 166, 69
다마, 153, 54
다마, 186, 76
카마, 167, 84
라아, 171, 64
파라, 183, 62
타마, 161, 64
하자, 176, 85
차가, 162, 54
하타, 182, 81
마아, 156, 71
자하, 177, 63
하나, 187, 91
바차, 167, 96
가아, 172, 75
자타, 186, 83
하타, 176, 87
카라, 155, 43
바라, 155, 67
다다, 170, 91
나카, 158, 54
자타, 154, 87
자타, 160, 65
카바, 179, 63
마차, 182, 73
나파, 151, 67
다사, 187, 66
자타, 160, 48
가카, 189, 56
나다, 164, 94
차카, 160, 94
파아, 172, 77
카다, 158, 44
마카, 166, 99
라파, 156, 86
나파, 170, 65
바파, 167, 69
파차, 172, 80
다마, 165, 69
사라, 174, 81
바아, 161, 94
차나, 172, 76
차사, 152, 59
차나, 151, 97
하카, 155, 79
파마, 155, 79
라카, 178, 86
하파, 187, 80
아나, 153, 86
파바, 184, 74
카라, 172, 87
카아, 188, 88
라하, 170, 51
타바, 175, 70
자파, 151, 77
마가, 185, 71
가바, 175, 53
파마, 171, 82
마다, 166, 63
타파, 158, 84
파마, 158, 80
마파, 168, 58
파자, 152, 70
자라, 167, 80
라라, 188, 93
사마, 158, 82
가타, 154, 51
하하, 150, 47
카사, 177, 49
카차, 174, 42
타아, 166, 49
파차, 180, 80
하사, 169, 98
다차, 179, 96
아나, 185, 47
라바, 170, 45
바카, 154, 76
가사, 189, 63
아가, 161, 52
차파, 174, 58
사마, 187, 66
아타, 184, 75
나파, 181, 94
자바, 175, 60
마나, 177, 56
가타, 151, 86
사바, 169, 58
아자, 176, 86
마파, 169, 59
다자, 166, 92
라가, 170, 54
마자, 162, 97
사아, 156, 66
차하, 189, 74
다라, 154, 40
아타, 186, 75
마라, 178, 49
다사, 178, 72
라바, 185, 87
라마, 165, 78
다바, 167, 42
라마, 188, 59
가타, 159, 65
라사, 160, 99
사차, 157, 96
다자, 189, 73
파사, 189, 41
타자, 167, 48
타파, 175, 48
하다, 166, 50
자아, 186, 45
나가, 172, 75
아다, 186, 56
바아, 158, 44
마라, 161, 96
타라, 171, 95
자가, 157, 49
아파, 168, 81
아아, 158, 51
다나, 155, 96
바라, 188, 50
마다, 152, 43
나라, 157, 53
차하, 175, 42
다자, 154, 71
하사, 186, 76
라자, 186, 74
나타, 156, 93
파차, 156, 60
자라, 178, 74
나사, 189, 56
라라, 182, 42
카마, 161, 42
나아, 181, 60
사라, 159, 74
하바, 156, 92
가다, 155, 63
파다, 178, 81
다차, 163, 61
카아, 162, 78
자카, 185, 65
타파, 168, 62
가하, 166, 97
마타, 165, 80
라카, 157, 61
자하, 177, 85
자타, 189, 68
차다, 174, 79
나바, 164, 56
차하, 150, 50
마자, 173, 98
바라, 173, 86
하하, 150, 42
바라, 183, 81
사파, 168, 98
하카, 154, 59
나바, 153, 54
카자, 153, 87
하자, 170, 84
나파, 157, 42
차라, 153, 70
나타, 154, 86
파라, 187, 86
차가, 173, 77
다카, 183, 58
라아, 153, 66
하다, 155, 95
타다, 154, 92
가차, 156, 73
하마, 162, 90
파나, 177, 66
사차, 185, 64
마나, 161, 99
마바, 178, 55
마가, 176, 62
아다, 157, 55
다카, 163, 57
아아, 150, 64
다타, 166, 72
차타, 182, 74
자카, 183, 65
바타, 163, 64
자사, 182, 95
바사, 154, 86
다라, 154, 67
다타, 188, 92
가파, 175, 92
자차, 170, 80
하바, 153, 40
아사, 188, 90
사자, 184, 85
차하, 167, 58
가다, 177, 72
자자, 160, 63
라타, 187, 71
라가, 157, 56
하하, 155, 85
카바, 167, 81
나파, 164, 94
다사, 172, 94
카가, 175, 59
사바, 177, 79
하타, 174, 77
사차, 153, 63
마자, 185, 75
아바, 169, 47
아마, 170, 71
사타, 157, 84
자다, 170, 69
마바, 177, 90
마아, 156, 59
